ID, Size, Predicted, Actual
1,111,1.0,no
2,22,1.0,no
3,75,1.0,no
4,131,1.0,no
5,74,1.0,no
6,84,1.0,no
7,70,1.0,no
8,57,1.0,no
9,70,1.0,no
10,59,1.0,no
11,88,1.0,no
12,40,1.0,no
13,99,1.0,no
14,187,1.0,no
15,196,1.0,no
16,192,1.0,no
17,97,1.0,no
18,98,1.0,no
19,96,1.0,no
20,173,1.0,no
21,141,1.0,no
22,142,1.0,no
23,188,1.0,no
24,90,1.0,no
25,110,1.0,no
26,62,1.0,no
27,61,1.0,no
28,120,1.0,no
29,116,1.0,no
30,58,1.0,no
31,74,1.0,no
32,75,1.0,no
33,49,1.0,no
34,102,1.0,no
35,62,1.0,no
36,107,1.0,no
37,51,1.0,no
38,43,1.0,no
39,73,0.9127380952380953,no
40,42,0.886531746031746,no
41,82,1.0,no
42,83,0.9134761904761904,no
43,466,1.0,no
44,106,1.0,no
45,119,1.0,no
46,332,1.0,no
47,91,1.0,no
48,84,1.0,no
49,123,1.0,no
50,263,1.0,no
51,99,1.0,no
52,259,1.0,no
53,1066,1.0,no
54,137,1.0,no
55,151,1.0,no
56,121,1.0,no
57,122,1.0,no
58,107,1.0,no
59,83,0.9985714285714287,no
60,288,1.0,no
61,504,1.0,no
62,72,1.0,no
63,76,1.0,no
64,69,1.0,no
65,83,1.0,no
66,65,1.0,no
67,88,1.0,no
68,40,1.0,no
69,86,1.0,no
70,89,1.0,no
71,49,1.0,no
72,102,1.0,no
73,94,1.0,no
74,72,1.0,no
75,60,1.0,no
76,76,1.0,no
77,92,1.0,no
78,96,1.0,no
79,70,1.0,no
80,86,1.0,no
81,101,1.0,no
82,169,1.0,no
83,115,1.0,no
84,153,1.0,no
85,58,1.0,no
86,47,1.0,no
87,49,1.0,no
88,58,1.0,no
89,70,1.0,no
90,141,1.0,no
91,93,1.0,no
92,273,1.0,no
93,96,1.0,no
94,50,1.0,no
95,241,1.0,no
96,195,1.0,no
97,131,1.0,no
98,170,1.0,no
99,161,1.0,no
100,102,1.0,no
101,150,1.0,no
102,65,1.0,no
103,88,1.0,no
