ID, Size, Predicted, Actual
1,111,1.0,yes
2,22,1.0,yes
3,75,1.0,no
4,131,1.0,yes
5,74,1.0,no
6,84,1.0,no
7,70,1.0,no
8,57,1.0,no
9,70,1.0,no
10,59,1.0,no
11,88,1.0,no
12,40,1.0,no
13,99,1.0,no
14,187,1.0,no
15,196,1.0,no
16,192,1.0,no
17,97,1.0,no
18,98,1.0,no
19,96,1.0,no
20,173,1.0,no
21,141,1.0,no
22,142,1.0,no
23,188,1.0,no
24,90,1.0,no
25,110,1.0,no
26,62,1.0,no
27,61,1.0,no
28,120,1.0,no
29,116,1.0,no
30,58,1.0,no
31,74,1.0,no
32,75,1.0,no
33,49,1.0,no
34,102,1.0,no
35,62,1.0,no
36,107,1.0,no
37,51,1.0,no
38,43,1.0,no
39,73,0.5085556110556111,no
40,42,0.4762205988455987,no
41,82,1.0,no
42,83,0.51298556998557,no
43,466,1.0,yes
44,106,1.0,no
45,119,1.0,no
46,332,0.9975,no
47,91,1.0,no
48,84,1.0,no
49,123,1.0,no
50,263,1.0,no
51,99,1.0,no
52,259,1.0,no
53,1066,1.0,no
54,137,1.0,no
55,151,1.0,no
56,121,1.0,yes
57,122,1.0,no
58,107,1.0,no
59,83,1.0,no
60,288,1.0,yes
61,504,1.0,yes
62,72,1.0,no
63,76,1.0,no
64,69,1.0,no
65,83,1.0,no
66,65,1.0,no
67,88,1.0,no
68,40,1.0,no
69,86,1.0,no
70,89,1.0,no
71,49,1.0,no
72,102,1.0,no
73,94,1.0,no
74,72,1.0,no
75,60,1.0,no
76,76,1.0,no
77,92,1.0,no
78,96,1.0,no
79,70,1.0,no
80,86,1.0,no
81,101,1.0,no
82,169,1.0,no
83,115,1.0,no
84,153,1.0,no
85,58,1.0,no
86,47,1.0,no
87,49,1.0,no
88,58,1.0,no
89,70,1.0,no
90,141,1.0,no
91,93,1.0,no
92,273,1.0,no
93,96,1.0,no
94,50,1.0,no
95,241,1.0,no
96,195,1.0,no
97,131,1.0,no
98,170,1.0,yes
99,161,1.0,no
100,102,1.0,no
101,150,1.0,no
102,65,1.0,no
103,88,1.0,no
104,40,1.0,no
105,57,1.0,no
106,39,1.0,no
107,85,1.0,no
108,93,1.0,no
109,87,1.0,no
110,81,1.0,no
111,95,1.0,no
112,66,1.0,no
113,94,0.9990000000000001,no
114,76,1.0,no
115,116,1.0,no
116,56,1.0,no
117,48,1.0,no
118,71,1.0,no
119,45,1.0,no
120,45,1.0,no
121,30,1.0,no
122,74,1.0,no
123,299,1.0,yes
124,82,1.0,yes
125,197,1.0,no
126,173,1.0,no
127,84,1.0,no
128,75,1.0,yes
129,65,1.0,no
130,96,1.0,no
131,176,1.0,no
132,193,1.0,no
133,157,1.0,no
134,88,1.0,no
135,67,1.0,no
136,92,1.0,no
137,56,1.0,no
138,102,0.8427639744586339,yes
139,138,0.9981818181818182,no
140,106,1.0,no
141,174,1.0,no
142,244,0.6142816415610532,no
143,101,0.8914169076537498,yes
144,113,1.0,no
145,110,1.0,no
146,58,1.0,no
147,37,1.0,no
148,77,1.0,no
149,142,1.0,no
150,118,1.0,no
151,80,1.0,no
152,59,1.0,no
153,69,1.0,no
154,95,1.0,no
155,97,1.0,no
156,82,1.0,no
157,67,0.9981818181818182,no
158,110,1.0,no
159,103,1.0,no
160,111,1.0,no
161,82,1.0,no
162,56,1.0,yes
163,73,1.0,no
164,100,1.0,no
165,70,1.0,yes
166,32,1.0,no
167,148,1.0,no
168,156,1.0,no
169,119,1.0,yes
170,116,1.0,no
171,73,0.40229148629148637,no
172,84,1.0,no
173,122,1.0,no
174,191,1.0,no
175,170,1.0,no
176,153,1.0,no
177,78,1.0,no
178,84,0.8107805021775609,no
179,140,0.8345443722943723,no
180,127,1.0,yes
181,30,1.0,no
182,80,1.0,no
183,45,1.0,no
184,63,1.0,no
185,141,0.80733658008658,no
186,81,0.910131252562367,no
187,45,1.0,no
188,63,1.0,no
189,190,1.0,no
190,74,1.0,no
191,47,1.0,no
192,65,1.0,no
193,253,1.0,no
194,32,1.0,no
195,61,0.9170550289493788,no
196,86,0.9232833229292207,no
197,93,1.0,no
198,157,0.632482966809592,no
199,99,0.9219366591440895,no
200,132,0.7619045647092323,no
201,212,0.5137438384061012,no
202,201,0.5196362723723764,no
203,62,0.5575719868796495,no
204,68,0.9158001000977007,no
205,52,0.9265643319099202,no
206,50,0.9035332592244357,no
207,321,0.9375377159819883,no
208,79,1.0,no
209,42,1.0,no
210,35,1.0,no
211,125,1.0,no
212,65,1.0,no
213,48,1.0,no
214,89,1.0,no
215,314,1.0,no
216,40,1.0,no
217,64,0.9110892440892441,no
218,58,1.0,no
219,99,0.9192777320718497,no
220,73,0.9057290726129734,no
221,72,0.9241481421485291,no
222,36,1.0,no
223,51,0.8238300254527033,no
224,36,1.0,no
225,31,0.7300644174367086,no
226,61,0.7520271525000627,no
227,74,0.8033464638216962,no
228,101,0.9209264403896756,no
229,86,0.7539294511817733,no
230,36,1.0,no
231,106,0.8153157135262398,no
232,93,1.0,no
233,91,0.7509832318262792,no
234,58,0.8494464163287694,no
235,106,0.8095669198362697,no
236,138,1.0,no
237,83,0.8276046420899362,no
238,53,0.7569502098348848,no
239,88,0.8171284973196737,no
240,72,0.7586992366938187,no
241,241,1.0,no
242,106,1.0,no
243,44,1.0,no
244,158,1.0,no
245,51,1.0,no
246,36,1.0,no
247,226,1.0,no
248,64,1.0,no
249,127,1.0,no
250,67,1.0,no
251,104,1.0,no
252,213,1.0,no
253,35,1.0,no
254,105,1.0,no
255,117,1.0,no
256,63,1.0,no
257,116,0.34039082988734687,no
258,29,0.8668958402708402,no
259,104,0.8462052669552669,no
260,38,0.8500713453213453,no
261,44,0.8383704906204905,no
262,96,0.8646746031746032,no
263,42,0.872661297036297,no
264,48,0.8738926351426352,no
265,62,1.0,no
266,42,0.9118880005443474,no
267,99,0.6213304139545862,no
268,87,0.6159011867902566,yes
269,99,0.558373383483997,yes
270,102,0.5746885783392209,yes
271,62,0.9196877263603269,no
272,134,1.0,yes
273,64,0.9284701148954245,no
274,55,1.0,yes
275,69,1.0,no
